discourse_id,essay_id,discourse_text,discourse_type,discourse_effectiveness,2.1,1.1,4.2,2.1,1.1,4.2
03294d2fcc6a,0158970BC5D2,"It is important to keep students' minds engaged over the summer break, so they don't feel completely disoriented the following school year. I know from personal experience that the break between school years has left me disinterested in continuing to learn and work for the next school year. However, giving students teacher-designed assignments will stimulate their brains and keep them focused over the break.",Concluding Statement,Adequate,,,,Null,Null,Null
a041886eec7c,015BB7DA58EE,"Have you ever been bored in a class room such as your highschool english classes? Well do to a brand new algorithum made by Dr. Paull Eckman, creator of the FACS(Facial Action Coding System), you can finaly be exited about learning about greek and latin roots. This program can detect how you are felling and in what precentages",Lead,Effective,,,,emerging,emerging,emerging
9cdb031bf4c9,015BB7DA58EE,In the following paragraphs they will talk about if we should or should not read students faces to make the classroom experience more enjoyable.,Position,Adequate,,,,Null,Null,Null
94d217778be6,015BB7DA58EE,Well to start off the technology has decoded the Mona Lisa smile,Claim,Ineffective,,,,emerging,irrelevant,irrelevant
c24890bd6f6a,015BB7DA58EE,"You know they one the smile that seams somewhat omanis when you look at it. well this program has determend that the paintings famous smile is mostly happy. The spcifics of the smile are as follows she's 83 precent happy, 9 precent disgusted, 6 precent fearful, and 2 precent angry. This computer software known as the FACS looks adn all 44 major mussles and then makes a decison based on that. How can this be helpfull to schools.",Evidence,Ineffective,,,,Null,Null,Null
162b862f7128,015BB7DA58EE,"Now if you actualy like doing greek and latin roots in your english class you may not need this new technology, However you may not like another class like math classes",Evidence,Adequate,,,,Null,Null,Null
7f55d719a273,015BB7DA58EE,If we start doing eveything on computers like all of our lessons for example we will probably need this to keep us from not falling asleep during the class.,Claim,Adequate,,,,emerging,irrelevant,emerging
5a3369aa974c,015BB7DA58EE,"If we do end up adopting this new software into our computers it could make us have more fun lessons and make the classes end faster, well do to preception",Claim,Adequate,,,,emerging,irrelevant,emerging
7da6d74a7627,015BB7DA58EE,If the technology could be used with just a webcam then you could just look at your students face and see if they are bored or off task and make the lesson more enjoyable. We could just look at the precentages of the kids facial expressions like how they found out how the Mona Lisa's smile was mostly happy.,Evidence,Adequate,,,,Null,Null,Null
5431a13b4893,015BB7DA58EE,In conclution we could make our childrens classroom experiences more enjoyable. Even if it is a little creepy to have a software that watches you for your whole classroom experience. But it mostlikely is worth it to make shcool more enjoyable for the kids in them.,Concluding Statement,Adequate,,,,Null,Null,Null
15f46d6913df,0167BBA84E43,Do you really thing a land form could make a face ? To me that seems something is very unlikely. A planet that we do not look alike can make a face as a organism on earth?,Lead,Adequate,,,,emerging,emerging,emerging
18e84569101a,0167BBA84E43,The photo isn't clearly shown as a face it just looks like a planets land form,Claim,Adequate,,,,emerging,irrelevant,emerging
a348497d43c2,0167BBA84E43,"It may aslo be a feture that is only unique to this palnet like the moon has thousands of craders. I just feel as if Earth has all the water and green grass on it mayb Mars has these land forms instead. Also it might be like how people gaze at the stars or the clouds to see if they make an object or a human face. If you look closley you can see that the
 
 ""face"" has ridges or canyon. So maybe the ridegs/canyons made the land form that way",Evidence,Adequate,,,,Null,Null,Null
5983efd986b0,0167BBA84E43,NASA on the other hand and says there is likelyness of a human face. They also believe it is an alien artifac,Counterclaim,Ineffective,,,,Null,Null,Null
9373ad480e79,0167BBA84E43,"According to the picture they say because of the shadows it portraies eyes, nose and mouth. They say that in the years that they took the picture it has developed more and more over the spands of years.",Evidence,Ineffective,,,,Null,Null,Null
f1f8daa23ba7,0167BBA84E43,"In conclusion the ""face'' to me is still just a land form.",Position,Adequate,,,,Null,Null,Null
d64021d415d7,0167BBA84E43,Just because it looks as if it is something could not just be made out of a human face. If they had more evidence then it would be believeable but until then my opnion is still that it is a land form.,Concluding Statement,Adequate,,,,Null,Null,Null
218bfd96197d,0168325D0E24,"Being in a car is how we transport ourselves to and from places. Now what would you do if you had to give up your car. Yes, some people didnt mind giving up their cars but not everyone would be ok with this. We have gotten so used to driving cars that i don't know what some people would do if they had to give up their means of transportation. Its also another factored that what if someone had to drive a long ways, it would take them even longer to get where they're going. Its a very serious topic when you think of how much time one person spends in a car.",Lead,Adequate,,,,emerging,emerging,emerging
599e5e16e9ed,0168325D0E24,"Well Paris has enforced a driving ban to help clear the air of pollution. ""On mondays motorists with even-numbered license plates were ordered to leave their cars at home or suffer a 22-euro fine ($31). The same would apply to odd-numbered plates the following day."" Many people, in Paris, were fined for driving on the wrong day. Paris wanted to do something about the smog that was surrounding their beautiful city, so they figured if there wasnt as many cars polluting the air then the smog would go away.",Evidence,Adequate,,,,Null,Null,Null
a398be97f2b7,0168325D0E24,It actually helped having cars stop driving on certain days because the smog actually cleared.,Claim,Adequate,,,,emerging,irrelevant,emerging
38a6679de2ed,0168325D0E24,"""Recent studies suggest that Americans are buying fewer cars, driving less, and getting fewer licenses as each year goes by."" American has always had a thing for cars but lately that seems to be a false statement.",Evidence,Adequate,,,,Null,Null,Null
f1cc93a81a32,0168325D0E24,"In the more populated citys, people are using more bikes and less cars. Its easier to get around a city where there are thousands of people on the streets alone.",Claim,Effective,,,,emerging,irrelevant,emerging
1e8d962ccf47,0168325D0E24,Internet maybe a huge reason why theres less dringing because it feels like your more connected with your friends and family without actually having to go anywhere. The need for cars in the U.S. has gone down dramadically.,Evidence,Adequate,,,,Null,Null,Null
417f54b08a30,0168325D0E24,"Ever been to a place where there are no cars aloud. Well in Vauban, Germany there is a place where if you want to go there you have to give up your car. ""Street parking, driveways and home garages are generally forbidden is this experimental new district on the outskirts of Freiburg."" People are happier without the stress of a car says Heidrun Walter.",Evidence,Adequate,,,,Null,Null,Null
dc6acebcd4c0,0168325D0E24,"This is a place for clean air and no pollution from the car fumes. As of right now, this experiment seems to be running quite nicely.",Claim,Effective,,,,emerging,irrelevant,emerging
6d9d88dcdb54,0168325D0E24,"In all actuality, how many people dont realize how long they spend of their life in a car? If one day all cars in the world were banned, how would everyone recate? Some people may want to give up their cars, some people may not want to give up their cars",Concluding Statement,Adequate,,,,Null,Null,Null
d4e5221d31d2,0168325D0E24,"There are many sides to people giving up their cars. Some people are truly happy and some are not. It may not be that bad, i mean how did people manige before cars were even invented",Position,Ineffective,,,,Null,Null,Null
40556d737dae,0168325D0E24,"In one acrtical, it say there is a place where no cars are aloud but it also says that that place is an experimental project. In the end cars are just no as popular as they used to be. is that a good or bad thing, you decide.       ",Concluding Statement,Adequate,,,,Null,Null,Null
268da7edc231,01AFC67DF935,"President Obama has done nothing to improve our society.  If anything, he has created the worst society this world has ever seen.",Lead,Ineffective,,,,irrelevant,irrelevant,emerging
2afcaec42c9c,01AFC67DF935,"Limiting our usage of any type of motorized vehicle, would not only decrease air pollution but it would also help with adults or children that may not exercise enough. ",Position,Adequate,,,,Null,Null,Null
af569f0ddf09,01AFC67DF935,"Also when riding in or driving a motorized vehicle, your could get into an accident.  Getting into an accident in a vehicle could have much more fatal result than you walking, jogging, or even riding a bicycle.",Evidence,Adequate,,,,Null,Null,Null
917cc7fc5ca4,01AFC67DF935,"Although walking, jogging, or riding a bicycle isnt must safer than riding in a vehicle. ",Counterclaim,Adequate,,,,Null,Null,Null
4e718381101b,01AFC67DF935,"You could be walking along when a stranger may walk up out of nowhere, beat you up, and could hurt you very badly.  They may also take your wallet/purse.  Depending on who the person is, you could end up with a black eye, cut or busted lip/eye, or anything miner; while if the wrong person gets ahold of you, you could end up in the hospital needing surgery, transplant of some sort, or could even loose your life.",Evidence,Adequate,,,,Null,Null,Null
a2a95e4cd114,01AFC67DF935,"Also, owning a car could could put someone in debt. ",Claim,Adequate,,,,emerging,irrelevant,emerging
0adaf1d049b4,01AFC67DF935,"Falling behind on payments could be devastating to you and your family.  When the car company comes to reposses your vehicle, you could end up having to walk, jog, or even ride a bike.",Evidence,Adequate,,,,Null,Null,Null
826b1039775a,01AFC67DF935,So whether you like it or not everything has consequences.,Concluding Statement,Adequate,,,,Null,Null,Null
9c59442be6db,01B52B1D14F8,"So, in the article ""Making Mona Lisa Smile,"" the author describes how a new technology called the Facial Action Coding System enables computers to indentify human emotions.",Lead,Adequate,,,,emerging,irrelevant,irrelevant
3f45cda4e0b0,01B52B1D14F8,After reading the article I really could'nt decide. When reading about the FACS the first thing that came to my mind was to use this technology on the faces of celeberties.,Evidence,Ineffective,,,,Null,Null,Null
6ba8f4c85956,01B52B1D14F8,Well it's because it would be fun to do so. In my opinion that's what it's most useful for in classrooms.,Claim,Adequate,,,,emerging,irrelevant,emerging
8a0d92309806,01B52B1D14F8,Sure the teacher could use this technology to teach students about how advanced the humans have become but..,Counterclaim,Ineffective,,,,Null,Null,Null
e890c3ba9d81,01B52B1D14F8,Imagine being a teacher and then one day you introduce the FACS to your students. What do you think the first thing they do would be? I think the first thing they would do is take selfies and let the FACS analyze thier face. Then they laugh at the results.,Evidence,Adequate,,,,Null,Null,Null
b9be259b07fa,01B52B1D14F8,See they are doing it for fun.,Rebuttal,Adequate,,,,Null,Null,Null
9732378cc532,01B52B1D14F8,"This reminds me of disecting frogs in biology. Some students think it's useful for your education while some other students think it's a waste of time, a waste of life for the frogs and that disecting them in the first place is already digusting. But do they do this for fun. NO they don't. They do it to learn about the oragns of the frogs and the purpose of each organ. But is disecting frogs valuable? Yes in my opinion.",Evidence,Ineffective,,,,Null,Null,Null
7d71dae9cdbf,01B52B1D14F8,"So, no I don't think it's classroom valuable to use FACS.",Position,Adequate,,,,Null,Null,Null
b2dc14b0cafc,01B52B1D14F8,But that dosen't mean that you should not let them try it.,Counterclaim,Adequate,,,,Null,Null,Null
19b8004b9213,01B52B1D14F8,"Here's what the teachers should do. They show the students a picture of someones face. Lets just say for example Mona Lisa. The students will stare at the picture for about a minute carefully looking at every part of Mona Lisa's face. Then the students will decide Mona Lisa's emotion by rating her happiness, sadness, anger, digust or any other kind of emotions. Then after that the teacher uses the FACS on Mona Lisa's face to see if the results for Mona Lisa's emotions from the technology is the same as the results from the students.",Evidence,Adequate,,,,Null,Null,Null
c154a240940d,01B52B1D14F8,Human vs Technology there you go.,Concluding Statement,Adequate,,,,Null,Null,Null
4a7d11406893,01E9D9CD5CBF,"The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. Suprising finding were that (1) the noise added to test face image had profound effect on the facail expression and (2) in most every istance the new expression was meaningful.
 
 All 44 major muscles in the mode must move like human muslces. Movemment of one or more mucles is called an ""action unit"" Then Dr. Pual Eckam, creator of (FACS) Ekman has classified six basic emotions- happeniess, suprise, anger, disgust, feat and sadness. In the text it states,""The soft wear is the latest innovatiobn from Prof. Thomas Huang, of the Beckman Institiute for Advance Science at the University of
 
 Illinois."" Dr. Huag and colleague are experts at developing better ways fo humans and computers to communicate. The faical expressions for each emotion are univeral, observers Dr. Huang, even thought individuals often show varying degrees of expression (like smiling broadly). Using video imagery, the new emotion-recqizing softwear facture these movements.
 
 The study the ability of humans to read subatle changesin facial expressions, thast they appiled reverse correlation technique to reveal visual features that mediate understanding of emotion expressed by the face. The process begins whwne the computer constructs a 3-D comupter Model.",Evidence,Ineffective,,,,Null,Null,Null
